OBJECTID,Longitude,Latitude,ElevationB
2085,-149.62571519900,68.63323715700,-1.30000000000
2086,-149.62573458500,68.63325962510,-1.40000000000
2087,-149.62575113000,68.63328301690,-1.40000000000
2088,-149.62576215800,68.63330829880,-1.40000000000
2089,-149.62577095500,68.63333463530,-1.40000000000
2090,-149.62578074300,68.63335922460,-1.40000000000
2091,-149.62579095000,68.63338703910,-1.40000000000
2092,-149.62580366200,68.63341367020,-1.50000000000
2093,-149.62581604400,68.63344512620,-1.50000000000
2094,-149.62583026100,68.63347217300,-1.60000000000
2095,-149.62584803900,68.63349733550,-1.70000000000
2096,-149.62586671000,68.63352634860,-1.80000000000
2097,-149.62588587200,68.63355162290,-2.00000000000
2098,-149.62590683200,68.63357828390,-2.90000000000
2099,-149.62592779600,68.63360525810,-3.40000000000
2100,-149.62595115300,68.63363351440,-3.90000000000
2101,-149.62597681200,68.63366380480,-4.40000000000
2102,-149.62600182500,68.63369138410,-4.80000000000
2103,-149.62602663000,68.63372235320,-5.10000000000
2104,-149.62605573600,68.63375362800,-5.30000000000
2105,-149.62608349400,68.63378419380,-5.40000000000
2106,-149.62611136200,68.63381742910,-5.20000000000
2107,-149.62614307000,68.63384781620,-5.40000000000
2108,-149.62617633000,68.63387672270,-5.30000000000
2109,-149.62621261100,68.63390661640,-5.20000000000
2110,-149.62624847300,68.63393423640,-4.80000000000
2111,-149.62628236200,68.63396212300,-5.00000000000
2112,-149.62631331500,68.63398686780,-5.20000000000
2113,-149.62634399500,68.63401162720,-5.50000000000
2114,-149.62637022300,68.63403366480,-5.90000000000
2115,-149.62639789200,68.63405443170,-6.30000000000
2116,-149.62642563300,68.63407617510,-6.80000000000
2117,-149.62645421000,68.63409782190,-7.50000000000
2118,-149.62648112200,68.63411689930,-8.00000000000
2119,-149.62650717400,68.63413699520,-8.80000000000
2120,-149.62653263400,68.63415761250,-9.60000000000
2121,-149.62655725900,68.63417532140,-10.50000000000
2122,-149.62658143600,68.63419759480,-10.60000000000
2123,-149.62660609500,68.63421787960,-10.60000000000
2124,-149.62662698300,68.63423789250,-10.90000000000
2125,-149.62664780400,68.63425807530,-10.90000000000
2126,-149.62666827900,68.63427946710,-10.80000000000
2127,-149.62668717100,68.63429979250,-11.20000000000
2128,-149.62670669300,68.63432008050,-11.50000000000
2129,-149.62672185700,68.63434037850,-11.60000000000
2130,-149.62673758800,68.63436200930,-11.30000000000
2131,-149.62675163000,68.63438559650,-11.60000000000
2132,-149.62676506800,68.63440762740,-11.50000000000
2133,-149.62677919900,68.63443056100,-11.50000000000
2134,-149.62679313500,68.63445241240,-11.20000000000
2135,-149.62681110100,68.63447534110,-11.50000000000
2136,-149.62683695900,68.63449558400,-11.40000000000
2137,-149.62686667900,68.63450977940,-11.20000000000
2138,-149.62689794800,68.63451895000,-11.20000000000
2139,-149.62693123300,68.63452050850,-11.20000000000
2140,-149.62696050800,68.63451916170,-11.20000000000
2141,-149.62698805600,68.63451755440,-10.70000000000
2142,-149.62701209800,68.63451239410,-10.40000000000
2143,-149.62704282400,68.63450515480,-9.50000000000
2144,-149.62707716800,68.63449368740,-8.50000000000
2145,-149.62711291400,68.63447665470,-7.00000000000
2146,-149.62715081800,68.63445662010,-5.90000000000
2147,-149.62718188100,68.63443355190,-4.80000000000
2148,-149.62720682100,68.63441122800,-4.10000000000
2149,-149.62722546300,68.63438850200,-3.80000000000
2150,-149.62724192700,68.63436488170,-3.40000000000
2151,-149.62725738900,68.63434104400,-3.10000000000
2152,-149.62726778000,68.63431320940,-3.00000000000
2153,-149.62727720500,68.63428396560,-2.70000000000
2154,-149.62728263700,68.63425478110,-2.60000000000
2155,-149.62728746000,68.63422395040,-2.60000000000
2156,-149.62729090600,68.63419691940,-2.90000000000
2157,-149.62729435400,68.63416635410,-3.10000000000
2158,-149.62729213400,68.63413836760,-3.30000000000
2159,-149.62728419000,68.63411091720,-3.10000000000
2160,-149.62727657400,68.63408391200,-3.20000000000
2161,-149.62726557100,68.63405714110,-2.90000000000
2162,-149.62724924000,68.63402946380,-2.80000000000
2163,-149.62722752300,68.63400411680,-2.80000000000
2164,-149.62720436800,68.63397745520,-2.70000000000
2165,-149.62718277800,68.63394956020,-2.80000000000
2166,-149.62715752300,68.63392363670,-2.70000000000
2167,-149.62713072400,68.63389474610,-3.30000000000
2168,-149.62710585900,68.63386769250,-3.60000000000
2169,-149.62708058500,68.63383987950,-3.90000000000
2170,-149.62705526100,68.63381460790,-4.60000000000
2171,-149.62702993100,68.63378819370,-5.10000000000
2172,-149.62700547200,68.63376043800,-5.70000000000
2173,-149.62697822900,68.63373265430,-6.00000000000
2174,-149.62695153700,68.63370230290,-6.60000000000
2175,-149.62692529200,68.63367504560,-7.10000000000
2176,-149.62689846700,68.63364792010,-7.80000000000
2177,-149.62687100400,68.63362041180,-8.00000000000
2178,-149.62684256100,68.63358931550,-8.80000000000
2179,-149.62681815100,68.63356224630,-8.90000000000
2180,-149.62679017300,68.63353157790,-9.70000000000
2181,-149.62676454000,68.63350357050,-10.60000000000
2182,-149.62673923800,68.63347628250,-11.20000000000
2183,-149.62671485600,68.63345007710,-12.10000000000
2184,-149.62668761200,68.63341624700,-12.90000000000
2185,-149.62666061400,68.63338673780,-13.70000000000
2186,-149.62663017800,68.63335728000,-14.10000000000
2187,-149.62660086700,68.63332666490,-14.90000000000
2188,-149.62657191900,68.63329611970,-14.80000000000
2189,-149.62654161700,68.63326663830,-14.90000000000
2190,-149.62651130500,68.63323846220,-14.80000000000
2191,-149.62648386300,68.63320767560,-14.90000000000
2192,-149.62645629500,68.63317658810,-15.20000000000
2193,-149.62643040800,68.63315028630,-15.30000000000
2194,-149.62640574200,68.63312084430,-15.60000000000
2195,-149.62638137900,68.63309136270,-15.60000000000
2196,-149.62636081400,68.63306271470,-14.80000000000
2197,-149.62633770100,68.63303078630,-14.30000000000
2198,-149.62631617000,68.63300297420,-13.60000000000
2199,-149.62629281400,68.63297182290,-12.70000000000
2200,-149.62626886000,68.63294122570,-12.40000000000
2201,-149.62624648900,68.63291447700,-12.00000000000
2202,-149.62622463600,68.63288337750,-11.40000000000
2203,-149.62619935100,68.63285280840,-10.40000000000
2204,-149.62617569800,68.63282180520,-9.90000000000
2205,-149.62615237700,68.63279258080,-9.40000000000
2206,-149.62612660700,68.63276347470,-8.90000000000
2207,-149.62609823500,68.63272941620,-8.20000000000
2208,-149.62606810200,68.63269830370,-7.70000000000
2209,-149.62603858000,68.63267045200,-7.00000000000
2210,-149.62601494600,68.63264096980,-6.30000000000
2211,-149.62599299600,68.63261692780,-5.50000000000
2212,-149.62597570000,68.63259183280,-5.00000000000
2213,-149.62596941200,68.63256516950,-4.50000000000
2214,-149.62597979800,68.63254315140,-4.20000000000
2215,-149.62600264900,68.63252138800,-4.00000000000
